,description,image,tag,Left,Right,Violence,Apathy
632,"This is the way our Children have to be raised. It's not the promotion of
violence. It's the promotion of confidence and the ability to defend yourself.
Follow us if this video makes you proud!",https://mith.umd.edu/irads/files/original/a9d7307bc6ae720a7abcef364ed07f0f.png,_american.made|2nd Amendment|black|common folks|guns|Instagram|invader|Joy|patriotism|photograph|text,0,1,1,0
643,"Stop police brutality! Join our meeting on 21st April! April 21 Student Day of
Action to #StopPoliceTerror",https://mith.umd.edu/irads/files/original/0b0b6a652a20aa4ed632fc15bc981be4.png,black|civil rights|Don't Shoot|graduation|guns|illustration|police brutality|red,1,0,1,0
644,Join our rally against police terror together with California's Universities!-,https://mith.umd.edu/irads/files/original/7f8fce02ba14ef989485062037e4bc57.png,black|civil rights|Don't Shoot|guns|police brutality|redacted,1,0,1,0
645,The nation without borders is not a nation at all. Like to join!,https://mith.umd.edu/irads/files/original/08b6fe73dbd31b5903b513142b341f9c.png,Anger|borders|brown|green|guns|illegal immigration|immigration|photograph|soldiers|Stop A.I.|U.S. Flag,0,1,1,0
646,"Stop police terror with us!
need to unite!

   

Join or 5 read the word. We",https://mith.umd.edu/irads/files/original/185d84368b0e95f98cc9f5665574cf60.png,black|civil rights|Don't Shoot|guns|police brutality|redacted,1,0,1,0
647,"Help us to stop police brutality! Every university in CA and WI will attend! April
21 Student Day of Action to #StopPoliceTerror",https://mith.umd.edu/irads/files/original/94da8b7c8f45c077a7bfd3dd48547b74.png,black|civil rights|Don't Shoot|guns|photograph|police brutality|red,1,0,1,0
648,"Every voice counts! Join us and stop police brutality! April 21 Student Day of
Action to #StopPoliceTerror",https://mith.umd.edu/irads/files/original/940013abbf62ff8948632c11f740c4dc.png,black|civil rights|Don't Shoot|graduation|guns|photograph|police brutality|red,1,0,1,0
649,"If you want to save America, you're a part of us.
Like to join!",https://mith.umd.edu/irads/files/original/0bbcb270b80ac6b886447cde10fbf177.png,Anger|borders|brown|green|guns|illegal immigration|immigration|photograph|soldiers|Stop A.I.|U.S. Flag,0,1,1,0
651,"Every voice counts! Join us and stop police brutality! April 21 Student Day of
Action to #StopPoliceTerror",https://mith.umd.edu/irads/files/original/947494d954a5186529349bd057b04d78.png,black|civil rights|Don't Shoot|graduation|guns|illustration|police brutality|red,1,0,1,0
652,"Join our rally against police terror together with California's Universities! April
21 Student Day of Action to #StopPoliceTerror",https://mith.umd.edu/irads/files/original/b5a2e481206f32845a9a0168f869a60f.png,black|civil rights|Don't Shoot|graduation|guns|illustration|police brutality|red,1,0,1,0
654,"Stop police brutality! Join our meeting on 21st April! April 21 Student Day of
Action to #StopPoliceTerror",https://mith.umd.edu/irads/files/original/ed7c0809a14ea6bf2a996ab26bcca9f9.png,Anger|black|civil rights|crime|Don't Shoot|Facebook|Fear|guns|photograph|police brutality|racial tensions|red|text,1,0,1,0
655,"Help us to stop police brutality! Every university in CA and WI will attend! April
21 Student Day of Action to #StopPoliceTerror",https://mith.umd.edu/irads/files/original/2aa39b215ddae28aafaeb1694dfbc15d.png,Anger|black|civil rights|crime|Don't Shoot|Facebook|Fear|graduation|guns|illustration|photograph|police brutality|racial tensions|red|text|white,1,0,1,0
688,The nation without borders is not a nation at all. Like to join!,https://mith.umd.edu/irads/files/original/9c65337ed6ad70be25d149aa053cef77.png,black|borders|city on a hill|guns|Joy|nation|patriotism|photograph|red|Stop A.I.|U.S. Flag|war|white,0,1,1,0
699,This page is dedicated to protection against illegal immigrants! Like to join!,https://mith.umd.edu/irads/files/original/d310becd9a7973c08c38f62f4bf3149d.png,black|city on a hill|guns|immigration|Joy|nation|patriotism|photograph|red|soldiers|U.S. Flag|war|white,0,1,1,0
705,"Take care of our vets, not illegals. Like to join!",https://mith.umd.edu/irads/files/original/9005c7c6889282b467782435dba2df79.png,black|city on a hill|guns|illegal immigration|Joy|nation|patriotism|photograph|red|soldiers|Stop A.I.|U.S. Flag|veterans|war|white,0,1,1,0
